song,artist
Unbelievable,EMF
(Everything I Do) I Do It For You,Bryan Adams
The Promise Of A New Day,Paula Abdul
I Adore Mi Amor,Color Me Badd
Good Vibrations,Marky Mark And The Funky Bunch
Emotions,Mariah Carey
Romantic,Karyn White
When a Man Loves a Woman,Michael Bolton
Black or White - Single Version,Michael Jackson
All 4 Love,Color Me Badd
Don't Let the Sun Go Down on Me,George Michael
I'm Too Sexy,Right Said Fred
To Be With You,Mr. Big
Save The Best For Last,Vanessa Williams
Jump,Kris Kross
"I'll Be There (feat. Trey Lorenz) - Live at MTV Unplugged, Kaufman Astoria StuLive at MTV Unplugged, Kaufman Astoria Studios, New York - March 1992dios, New York - March 1992",Mariah Carey
Baby Got Back,Sir Mix-A-Lot
This Used to Be My Playground,Madonna
End Of The Road,Boyz II Men
How Do You Talk To An Angel?,The Heights
I Will Always Love You,Whitney Houston
A Whole New World (Aladdin's Theme),Various Artists
Informer,Snow
Freak Me,Silk
That's The Way Love Goes,Janet Jackson
Weak,SWV
(I Can't Help) Falling In Love With You,UB40
Dreamlover,Mariah Carey
I'd Do Anything For Love (But I Won't Do That) - Single Edit,Meat Loaf
Again,Janet Jackson
Hero,Mariah Carey
All for Love,"The BNFL Band, Richard Evans & Manfred Obrecht"
The Power of Love - Radio Edit,Céline Dion
The Sign,Ace of Base
Bump n' Grind,R. Kelly
I Swear,All-4-One
Stay (I Missed You) - Storytellers,Various Artists
I'll Make Love To You,Boyz II Men
On Bended Knee,Boyz II Men
Here Comes the Hotstepper - Heartical Mix,Ini Kamoze
Creep,TLC
Take a Bow,Madonna
This Is How We Do It,Montell Jordan
Have You Ever Really Loved A Woman?,Bryan Adams
Waterfalls,TLC
Kiss from a Rose,Seal
You Are Not Alone - Radio Edit,Michael Jackson
Gangsta's Paradise (feat. L.V.),Coolio
Fantasy,Mariah Carey
Exhale - Shoop Shoop,Whitney Houston
One Sweet Day,Mariah Carey
"Because You Loved Me (Theme from ""Up Close and Personal"")",Céline Dion
Always Be My Baby,Mariah Carey
Tha Crossroads,Bone Thugs-N-Harmony
How Do You Want It,2Pac
California Love - Original Version,2Pac
You're Makin' Me High,Toni Braxton
"Let It Flow - from ""Waiting to Exhale"" Original Soundtrack",Toni Braxton
No Diggity,Blackstreet
We Belong Together,Mariah Carey
Yeah! (feat. Lil Jon & Ludacris),Usher
Low (feat. T-Pain),Flo Rida
I Gotta Feeling,Black Eyed Peas
How You Remind Me,Nickelback
No One,Alicia Keys
Boom Boom Pow,Black Eyed Peas
Let Me Love You,Mario
Gold Digger,Kanye West
Apologize,Timbaland
Dilemma,Nelly
Family Affair,Mary J. Blige
Big Girls Don't Cry (Personal),Fergie
Maria Maria (feat. The Product G&B),Santana
U Got It Bad,Usher
Whatever You Like,T.I.
Bleeding Love,Leona Lewis
"Independent Women, Pt. 1",Destiny's Child
Foolish,Ashanti
Hey Ya! - Radio Mix,OutKast
Burn,Usher
The Way You Move (feat. Sleepy Brown),OutKast
Crank That (Soulja Boy),Soulja Boy
In Da Club,50 Cent
Irreplaceable,Beyoncé
Hanging By A Moment,Lifehouse
Breathe,Faith Hill
Lose Yourself,Various Artists
Fallin',Alicia Keys
I'm Real - Murder Remix,Ja Rule
Goodies (feat. Petey Pablo),Ciara
Hot In Herre,Nelly
Smooth (feat. Rob Thomas),Santana
Run It! (feat. Juelz Santana),Chris Brown
Just Dance,Lady Gaga
My Boo,Usher
Live Your Life,T.I.
Baby Boy (feat. Sean Paul),Beyoncé
Lollipop,Lil Wayne
Crazy In Love (feat. Jay-Z),Beyoncé
Hollaback Girl,Gwen Stefani
Poker Face,Lady Gaga
Kryptonite,3 Doors Down
Promiscuous,Nelly Furtado
Lean Back,Terror Squad
With Arms Wide Open,Creed
Since U Been Gone,Kelly Clarkson
Drop It Like It's Hot,Snoop Dogg
Viva La Vida,Coldplay
Get Busy,Sean Paul
If I Ain't Got You,Alicia Keys
Candy Shop,50 Cent
The Way I Are,Timbaland
I Knew I Loved You,Savage Garden
Everything You Want,Vertical Horizon
Bad Day,Daniel Powter
Umbrella,Rihanna
How to Save a Life,The Fray
"One, Two Step (feat. Missy Elliott)",Ciara
SexyBack (feat. Timbaland),Justin Timberlake
I'm Yours,Jason Mraz
Ain't It Funny (feat. Ja Rule & Cadillac Tah) - Murder Remix,Jennifer Lopez
Temperature,Sean Paul
Disturbia,Rihanna
All For You,Janet Jackson
I Kissed A Girl,Katy Perry
Unwell - 2007 Remaster,Matchbox Twenty
Here Without You,3 Doors Down
Hot N Cold,Katy Perry
Get Low,Lil Jon & The East Side Boyz
Buy U a Drank (Shawty Snappin'),T-Pain
Right Thurr,Chingy
Love Story,Taylor Swift
Ignition - Remix,R. Kelly
I Wanna Know,Joe
Smack That,Akon
Love Song,Sara Bareilles
Bent,Matchbox Twenty
Bubbly,Colbie Caillat
Right Round,Flo Rida
It Wasn't Me,Shaggy
Always On Time,Ja Rule
Complicated,Avril Lavigne
My Humps,Black Eyed Peas
Love in This Club,Usher
You're Beautiful,James Blunt
Stand Up,Ludacris
Check On It (feat. Bun B & Slim Thug),Beyoncé
Photograph,Nickelback
U Remind Me,Usher
Stronger,Kanye West
So What,P!nk
Kiss Kiss,Chris Brown
Girlfriend,Avril Lavigne
Let Me Blow Ya Mind,Eve
Work It,Missy Elliott
Hey There Delilah,Plain White T's
Try Again,Aaliyah Tribute
Single Ladies (Put a Ring on It),Beyoncé
Forever,Chris Brown
Airplanes (feat. Hayley Williams),B.o.B
Love The Way You Lie,Eminem
California Gurls,Katy Perry
Only Girl (In The World),Rihanna
Firework,Katy Perry
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira
Teenage Dream,Katy Perry
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",DJ Khaled
DJ Got Us Fallin' In Love (feat. Pitbull),Usher
What Makes You Beautiful,One Direction
Last Friday Night (T.G.I.F.),Katy Perry
Price Tag,Jessie J
Paradise,Coldplay
Grenade,Bruno Mars
We Are Young (feat. Janelle Monáe),fun.
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull
Ai Se Eu Te Pego - Ao Vivo,Michel Teló
Someone Like You,Adele
Moves Like Jagger,Maroon 5
We Found Love,Rihanna
Somebody That I Used To Know,Gotye
Call Me Maybe,Carly Rae Jepsen
Party Rock Anthem,LMFAO
Pumped Up Kicks,Foster The People
Born This Way,Lady Gaga
Super Bass,Nicki Minaj
S&M,Rihanna
Stereo Hearts (feat. Adam Levine),Gym Class Heroes
Stronger (What Doesn't Kill You),Kelly Clarkson
Titanium (feat. Sia),David Guetta
E.T.,Katy Perry
Starships,Nicki Minaj
Radioactive,Imagine Dragons
Diamonds,Rihanna
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis
Let Her Go,Passenger
Gangnam Style (강남스타일),PSY
Harlem Shake,Baauer
Latch,Disclosure
Locked out of Heaven,Bruno Mars
One More Night,Maroon 5
We Are Never Ever Getting Back Together,Taylor Swift
Whistle,Flo Rida
Payphone,Maroon 5
Sexy And I Know It,LMFAO
Mirrors,Justin Timberlake
Rap God,Eminem
Just Give Me a Reason (feat. Nate Ruess),P!nk
Dark Horse,Katy Perry
Timber (feat. Ke$ha),Pitbull
Wrecking Ball,Miley Cyrus
Royals,Lorde
Get Lucky (feat. Pharrell Williams & Nile Rodgers),Daft Punk
Counting Stars,OneRepublic
Blurred Lines,Robin Thicke
Wake Me Up,Avicii
Roar,Katy Perry
All of Me,John Legend
"Happy - From ""Despicable Me 2""",Pharrell Williams
Animals,Maroon 5
Burn,Ellie Goulding
Heart Attack,Demi Lovato
Riptide,Vance Joy
Rude,MAGIC!
Work Bitch,Britney Spears
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis
Anaconda,Nicki Minaj
Fancy,Iggy Azalea
Problem,Ariana Grande
Stay With Me,Sam Smith
Summer,Calvin Harris
Blank Space,Taylor Swift
Chandelier,Sia
All About That Bass,Meghan Trainor
Bailando - Spanish Version,Enrique Iglesias
Shake It Off,Taylor Swift
Thinking out Loud,Ed Sheeran
Trap Queen,Fetty Wap
Bang Bang,Jessie J
Boom Clap,Charli XCX
Can't Remember to Forget You (feat. Rihanna),Shakira
I'm an Albatraoz,AronChupa
Take Me To Church,Hozier
Hotline Bling,Drake
Can't Feel My Face,The Weeknd
Sugar,Maroon 5
Stressed Out,Twenty One Pilots
What Do You Mean?,Justin Bieber
Love Yourself,Justin Bieber
Lean On (feat. MØ & DJ Snake),Major Lazer
Faded,Alan Walker
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding
Sorry,Justin Bieber
Hello,Adele
See You Again (feat. Charlie Puth),Wiz Khalifa
Uptown Funk (feat. Bruno Mars),Mark Ronson
Watch Me (Whip / Nae Nae),Silentó
Stitches,Shawn Mendes
The Hills,The Weeknd
Elastic Heart,Sia
Last Night,Morgan Wallen
Fast Car,Luke Combs
Meltdown,Travis Scott Featuring Drake
Cruel Summer,Taylor Swift
FE!N,Travis Scott Featuring Playboi Carti
Calm Down,Rema & Selena Gomez
Fukumean,Gunna
Barbie World,Nicki Minaj & Ice Spice With Aqua
Vampire,Olivia Rodrigo
Dance The Night,Dua Lipa
I Know ?,Travis Scott
Flowers,Miley Cyrus
All My Life,Lil Durk Featuring J. Cole
Hyaena,Travis Scott
Snooze,SZA
Thank God,Travis Scott
Topia Twins,Travis Scott Featuring Rob49 & 21 Savage
K-POP,"Travis Scott, Bad Bunny & The Weeknd"
My Eyes,Travis Scott
Karma,Taylor Swift Featuring Ice Spice
Try That In A Small Town,Jason Aldean
What Was I Made For?,Billie Eilish
Modern Jam,Travis Scott Featuring Teezo Touchdown
Need A Favor,Jelly Roll
Delresto (Echoes),Travis Scott & Beyonce
Telekinesis,Travis Scott Featuring SZA & Future
Sirens,Travis Scott
God's Country,Travis Scott
Kill Bill,SZA
Seven,Jung Kook Featuring Latto
Anti-Hero,Taylor Swift
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
Religiously,Bailey Zimmerman
Skitzo,Travis Scott Featuring Young Thug
Chemical,Post Malone
Circus Maximus,Travis Scott Featuring The Weeknd & Swae Lee
Thinkin' Bout Me,Morgan Wallen
Til Further Notice,Travis Scott Featuring James Blake & 21 Savage
Favorite Song,Toosii
Mourning,Post Malone
Cupid,Fifty Fifty
Ella Baila Sola,Eslabon Armado X Peso Pluma
In Your Love,Tyler Childers
Dial Drunk,Noah Kahan With Post Malone
Next Thing You Know,Jordan Davis
Lost Forever,Travis Scott Featuring Westside Gunn
"You, Me, & Whiskey",Justin Moore & Priscilla Block
Love You Anyway,Luke Combs
Looove,Travis Scott Featuring Kid Cudi
Thought You Should Know,Morgan Wallen
Bury Me In Georgia,Kane Brown
La Bebe,Yng Lvcas x Peso Pluma
Parasail,Travis Scott Featuring Yung Lean & Dave Chappelle
Search & Rescue,Drake
Jealousy,Offset & Cardi B
Enough Is Enough,Post Malone
Put It On Da Floor Again,Latto Featuring Cardi B
Deli,Ice Spice
Un x100to,Grupo Frontera X Bad Bunny
LaLa,Myke Towers
Where She Goes,Bad Bunny
Princess Diana,Ice Spice & Nicki Minaj
Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H"
Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray"
Area Codes,Kaliii
What It Is (Block Boy),Doechii Featuring Kodak Black
Something Real,Post Malone
RE-,ENTRY
Peaches & Eggplants,Young Nudy Featuring 21 Savage
Sabor Fresa,Fuerza Regida
Watermelon Moonshine,Lainey Wilson
Your Heart Or Mine,Jon Pardi
Eyes Closed,Ed Sheeran
Daylight,David Kushner
Tulum,Peso Pluma & Grupo Frontera
I Can See You (Taylor's Version) (From The Vault),Taylor Swift
Super Shy,NewJeans
Speed Drive,Charli XCX
White Horse,Chris Stapleton
On The Radar Freestyle,Drake & Central Cee
Stand By Me,Lil Durk Featuring Morgan Wallen
Fragil,Yahritza y Su Esencia x Grupo Frontera
Everything I Love,Morgan Wallen
Shake Sumn,DaBaby
TQM,Fuerza Regida
Popular,"The Weeknd, Playboi Carti & Madonna"
Too Cool To Die,Post Malone
Don't Understand,Post Malone
Aqui Te Espero,Ivan Cornejo
Novacandy,Post Malone
Truck Bed,HARDY
I'm Just Ken,Ryan Gosling
Jaded,Miley Cyrus
Heartbroken,"Diplo, Jessie Murph & Polo G"
Memory Lane,Old Dominion
Oh U Went,Young Thug Featuring Drake
ICU,Coco Jones
Pound Town 2,Sexyy Red & Tay Keith & Nicki Minaj
"Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma
Johnny Dang,"That Mexican OT, Paul Wall & DRODi"
Cars With the Boom,L’Trimm
Get Low,Lil Jon and the East Side Boyz feat. Ying Yang Twins
Paper Planes,M.I.A.
Empire State of Mind,Jay Z and Alicia Keys
Slow Down,Brand Nubian
The Rain (Supa Dupa Fly),Missy ‘Misdemeanor’ Elliott
93 ’til Infinity,Souls of Mischief
Bling Bling,B.G. feat. Big Tymers and Hot Boys
B.M.F. (Blowin’ Money Fast),Rick Ross feat. Styles P
Just a Friend,Biz Markie
Int’l Players Anthem (I Choose You),UGK feat. Outkast
The Bridge,MC Shan
The Humpty Dance,Digital Underground
Money Ain’t a Thang,Jermaine Dupri feat. Jay Z
Roxanne’s Revenge,Roxanne Shanté
Roxanne,U.T.F.O.
Freaky Tales,Too $hort
Method Man,Raekwon feat. Ghostface Killah
It Ain’t Hard to Tell,Nas
O.P.P.,Naughty by Nature
Beat Bop,Rammellzee and K-Rob
Ego Trippin',Ultramagnetic MC’s
Can I Kick It?,A Tribe Called Quest
Children’s Story,Slick Rick
Ante Up (Robbing-Hoodz Theory),M.O.P.
Mass Appeal,Gang Starr
Ms. Jackson,Outkast
Protect Ya Neck,Wu-Tang Clan
Ni**as in Paris,Jay Z and Kanye West
Brooklyn Zoo,Ol’ Dirty Bastard
Rick Ross,Kanye West feat. Jay Z
Hip-Hop,Dead Prez
What You Know,T.I.
6 ‘n the Mornin',Ice T
A Milli,Lil Wayne
The Choice Is Yours (Revisited),Black Sheep
How I Could Just Kill a Man,Cypress Hill
Deep Cover,Dr. Dre feat. Snoop Doggy Dogg
Hold It,Beastie Boys
The Show,Doug E. Fresh and the Get Fresh Crew
Stan,Eminem feat. Dido
Passin’ Me By,The Pharcyde
Grindin,Clipse
White Lines (Don’t Don’t Do It),Grandmaster and Melle Mel
Gin and Juice,Snoop Doggy Dogg
King of Rock,Run-DMC
Big Poppa,The Notorious B.I.G.
Bring the Noise,Public Enemy
B.O.B.,Outkast
The Adventures of Grandmaster Flash on the Wheels of Steel,Grandmaster Flash and the Furious Five
Craig G.,Marley Marl feat. Master Ace
That’s the Joint,Funky 4 + 1
Push It,Salt-N-Pepa
Lost Ones,Lauryn Hill
Me Myself and I,De La Soul
Top Billin',Audio Two
South Bronx,Boogie Down Productions
California Love,2Pac feat. Dr. Dre and Roger Troutman
The Breaks,Kurtis Blow
My Name Is,Eminem
Get Ur Freak On,Missy Elliott
Rosa Parks,Outkast
It Was a Good Day,Ice Cube
Shook Ones (Part II),Mobb Deep
P.S.K. What Does It Mean?,Schoolly D
99 Problems,Jay Z
Jesus Walks,Kanye West
N.Y. State of Mind,Nas
Hypnotize,The Notorious B.I.G.
Mama Said Knock You Out,LL Cool J
Lose Yourself,Eminem
the Notorious B.I.G.,Craig Mack feat. Rampage
Scenario,A Tribe Called Quest feat. Leaders of the New School
Ain’t No Half-Steppin',Big Daddy Kane
It Takes Two,Rob Base and DJ E-Z Rock
I Know You Got Soul,Eric B. and Rakim
Strictly Business,EPMD
Rock the Bells,LL Cool J
Paul Revere,Beastie Boys
Dear Mama,2Pac
Peter Piper,Run-DMC
Big Pimpin',Jay Z feat. UGK
Fuck tha Police,N.W.A
Rebel Without a Pause,Public Enemy
La-Di-Da-Di,Doug E. Fresh and Slick Rick
They Reminisce Over You (T.R.O.Y.),Pete Rock and C.L. Smooth
C.R.E.A.M.,Wu-Tang Clan
Paid in Full,Eric B. and Rakim
Straight Outta Compton,N.W.A
Juicy,The Notorious B.I.G.
Fight the Power,Public Enemy
Nuthin’ but a ‘G’ Thang,Dr. Dre feat. Snoop Doggy Dogg
Mind Playing Tricks on Me,Geto Boys
Sucker M.C.’s,Run-DMC
Planet Rock,Afrika Bambaataa and the Soulsonic Force
Rapper’s Delight,Sugarhill Gang
The Message,Grandmaster Flash and the Furious Five
Heart Like a Truck,Lainey Wilson
Never Give Up,Chronixx
Problem With It,Plains
Saga,Hurray for the Riff Raff
Alaska,Camilo ft. Grupo Firme
Yearbook,Ingrid Andress
First Class,Jack Harlow
That That,Psy feat. Suga
Reign of Error,Dead Cross
American Teenager,Ethel Cain
Nothing,Gladie
Alex Bell,Guided by Voices
Nxde,(G)I-dle
Take My Breath,The Weeknd
Pop!,Nayeon
Coyotes,Bill Callahan
Late at Night,Protoje feat. Lila Iké
Jesus Freak Lighter,Blood Orange
Hasta Los Dientes,Camila Cabello feat. Maria Becerra
Hot in It,Charli XCX and Tiësto
X Ultima Vez,Daddy Yankee and Bad Bunny
Part of the Band,The 1975
Punto 40,Rauw Alejandro and Baby Rasta
Choreomania,Florence + the Machine
2012,Saba feat. Day Wave
Antifragile,Le Sserafim
Pomeranian Spinster,Alvvays
Still Life,Big Bang
Blacktop,Yeah Yeah Yeahs
2 Baddies,NCT 127
Mil Y Una Noches,Guitarricadelafuente
Made You Look,Meghan Trainor
The Astronaut,Jin
“Circles Around This Town”,Maren Morris
This Is Not America,Residente
Girls,Aespa
Jackie Down The Line,Fontaines D.C.
Iced Tea,Joyce Wrice and Kaytranada
So Typically Now,U.S. Girls
Pink Convertible,Marina
Because I Liked a Boy,Sabrina Carpenter
Would’ve Could’ve Should’ve,Taylor Swift
Cracker Island,Gorillaz ft. Thundercat
Conceited,Flo Milli
Maniac,Stray Kids
Eat Pray Drugs,Pillbox Patti
Let Us Die,King Princess
After Like,IVE
Right Track,Syd feat. Smino
Coming Correct Is Cheaper,Soul Glo
Ojitos Lindos,Bad Bunny feat. Bomba Estereo
Don’t Forget,Sky Ferreira
Calm Down,Rema
Banking on Me,Gunna
Don’t Play That,King Von and 21 Savage
Estilazo,Marshmello and Tokischa
What Else Can She Do,Kaitlin Butts
Finesse,Pheelz and BNXN
About Damn Time,Lizzo
Tomorrow 2,GloRilla feat. Cardi B
Papi Bones,FKA Twigs feat. Shygirl
90 Proof,Smino feat. J. Cole
Hot,Seventeen
Bad to Me,Wizkid
Runner,Alex G
“Pink Venom”,Blackpink
No Escape From Now,Ozzy Osbourne
Mamiii,Karol G and Becky G
“Son of a Sinner”,Jelly Roll
Ku Lo Sa — A Colors Show,Oxlade
2010,Earl Sweatshirt
Evergreen,Omar Apollo
Home By Now,Muna
Sungba (Remix),Asake feat. Burna Boy
The Last Resort,Midland
Unholy,Sam Smith and Kim Petras
Hype Boy,NewJeans
The Loneliest Time,Carly Rae Jepsen & Rufus Wainwright
BZRP Music Sessions #51,Villano Antillano
Something in the Orange,Zach Bryan
I Burned L.A. Down,Noah Cyrus
Plan B,Megan Thee Stallion
Caylee Hammack,Ashley McBryde
Persuasive,Doechii & SZA
Last Last,Burna Boy
This Hell,Rina Sawayama
Munch (Feelin U),Ice Spice
Dreamin’ of the Past,Pusha T
Soy El Unico,Yahritza Y Su Esencia
N95,Kendrick Lamar
Jimmy Cooks,Drake feat. 21 Savage
As It Was,Harry Styles
Break My Soul,Beyonce
The Creator,Pharrell feat. 21 Savage and Tyler
Hotel Lobby,Quavo and Takeoff
Despecha,Rosalia
Karma,Taylor Swift
Bad Habit,Steve Lacy
Cuff It,Beyonce
Titi Me Preguntó,Bad Bunny
Baby Love,The Supremes
Pancho and Lefty,Townes Van Zandt
Truth Hurts,Lizzo
You’re So Vain,Carly Simon
Time After Time,Cyndi Lauper
Where Is My Mind?,The Pixies
So What,Miles Davis
Welcome to the Jungle,Guns N’ Roses
Old Town Road,Lil Nas X
Cannonball,The Breeders
House of Balloons,The Weeknd
Cranes in the Sky,Solange
212,Azealia Banks
Buddy Holly,Weezer
I Can’t Help Myself (Sugar Pie,The Four Tops
Bad Romance,Lady Gaga
Cross Road Blues,Robert Johnson
Oye Como Va,Santana
Back That Azz Up,Juvenile feat. Lil Wayne and Mannie Fresh
Our Lips Are Sealed,The Go-Gos
Sunday Mornin’ Comin’ Down,Kris Kristofferson
Rhythm Nation,Janet Jackson
Move On Up,Curtis Mayfield
Stand by Your Man,Tammy Wynette
Solsbury Hill,Peter Gabriel
The House of the Rising Sun,The Animals
Midnight Train to Georgia,Gladys Knight and the Pips
Goodbye Earl,Dixie Chicks
Fade Into You,Mazzy Star
Come as You Are,Nirvana
Never Too Much,Luther Vandross
Get Lucky,Daft Punk feat. Pharrell Williams
Help Me,Joni Mitchell
Boom Boom,John Lee Hooker
Into the Mystic,Van Morrison
Crying,Roy Orbison
Ku Klux Klan,Steel Pulse
No Ordinary Love,Sade
Loser,Beck
Livin’ on a Prayer,Bon Jovi
Summertime Sadness,Lana Del Rey
White Rabbit,Jefferson Airplane
Bam Bam,Sister Nancy
The Rain (Supa Dupa Fly),Missy Elliot
Africa,Toto
Bad and Boujee,Migos feat. Lil Uzi Vert
Powderfinger,Neil Young
(Don’t Fear) The Reaper,Blue Öyster Cult
Tyrone,Erykah Badu
Help!,The Beatles
Rosalita (Come Out Tonight),Bruce Springsteen
Cosmic Dancer,T. Rex
Sugar,Fall Out Boy
Ace of Spades,Motörhead
The House That Built Me,Miranda Lambert
If I Ain’t Got You,Alicia Keys
La Vida Es un Carnaval,Celia Cruz
Savage (Remix),Megan Thee Stallion feat. Beyoncé
Passionate Kisses,Lucinda Williams
Limelight,Rush
Sheena Is a Punk Rocker,Ramones
West End Girls,Pet Shop Boys
Summertime Blues,Eddie Cochran
Adore,Prince
They Reminisce Over You,Pete Rock and CL Smooth
Under Pressure,Queen and David Bowie
Sign of the Times,Harry Styles
Rapper’s Delight,Sugar Hill Gang
Mannish Boy,Muddy Waters
No Diggity,Blackstreet feat. Dr. Dre and Queen Pen
Criminal,Fiona Apple
LL Cool J,Craig Mack feat. Notorious B.I.G.
How Soon Is Now?,The Smiths
California Dreamin’ ,The Mamas and the Papas
Green Onions,Booker T. and the MGs
Uptown Funk,Mark Ronson feat. Bruno Mars
Alive,Pearl Jam
Enjoy the Silence,Depeche Mode
Dreaming,Blondie
Gloria,Them
Buffalo Stance,Neneh Cherry
Heavy Metal Drummer,Wilco
Whipping Post,Allman Brothers Band
Everlong,Foo Fighters
Father and Son,Cat Stevens/Yusuf
Free Bird,Lynyrd Skynyrd
Sucker MC’s,Run-DMC
Amor Prohibido,Selena
Rock and Roll All Nite,Kiss
Ain’t Nobody,Rufus and Chaka Khan
Lovely Day,Bill Withers
Go Your Own Way,Fleetwood Mac
Station to Station,David Bowie
You Make Me Feel (Mighty Real),Sylvester
Hungry Like the Wolf,Duran Duran
Alison,Elvis Costello
Grace,Jeff Buckley
Say It Loud (I’m Black and I’m Proud),James Brown
Fix You,Coldplay
Springsteen,Eric Church
Enter Sandman,Metallica
Brass in Pocket,Pretenders
Party Up (Up in Here),DMX
Personality Crisis,New York Dolls
Lola,The Kinks
I’m Coming Out,Diana Ross
J Balvin,Cardi B
Redbone,Childish Gambino
Paper Bag,Fiona Apple
Typical Girls,The Slits
Radiation Vibe,Fountains of Wayne
Untitled (How Does It Feel),D’Angelo
Mr. Brightside,The Killers
Pictures of You,The Cure
Mama Tried,Merle Haggard
Up on the Roof,The Drifters
Be Thankful for What You Got,William DeVaughn
I Can’t Make You Love Me,Bonnie Raitt
Bennie and the Jets,Elton John
Peggy Sue,Buddy Holly
Just What I Needed,The Cars
Black Hole Sun,Soundgarden
Thinkin Bout You,Frank Ocean
Da Doo Ron Ron,The Crystals
God Save the Queen,Sex Pistols
Box of Rain,The Grateful Dead
Could You Be Loved,Bob Marley and the Wailers
Merry Go ‘Round,Kacey Musgraves
The Harder They Come,Jimmy Cliff
Little Red Corvette,Prince
Killing Me Softly With His Song,Fugees
Because the Night,Patti Smith
Surrender,Cheap Trick
Don’t Leave Me This Way,Thelma Houston
Rock With You,Michael Jackson
Sweet Dreams (Are Made of This),Eurythmics
Ponta de Lança Africano (Umbabarauma),Jorge Ben
Angel From Montgomery,John Prine
Time of the Season,The Zombies
Virginia Plain,Roxy Music
Dynamite,BTS
It’s Too Late,Carole King
Iron Man,Black Sabbath
What a Fool Believes,The Doobie Brothers
Promised Land,Chuck Berry
I’m a Believer,The Monkees
(White Man) in Hammersmith Palais,The Clash
1999,Prince
Paranoid,Black Sabbath
Believe,Cher
She’s Gone,Hall and Oates
Move Your Body (The House Music Anthem),Marshall Jefferson
Ripple,The Grateful Dead
Papa Was a Rollin’ Stone,The Temptations
Umbrella,Rihanna feat. Jay-Z
Please Mr. Postman,The Marvelettes
Safaera,Bad Bunny
Under the Bridge,Red Hot Chili Peppers
Real Love,Mary J. Blige
Portions for Foxes,Rilo Kiley
Lust for Life,Iggy Pop
Scenes From an Italian Restaurant,Billy Joel
All I Have to Do Is Dream,Everly Brothers
After the Gold Rush,Neil Young
I Still Haven’t Found What I’m Looking For,U2
California Love,2Pac
Everybody Wants to Rule the World,Tears for Fears
Hound Dog,Big Mama Thornton
Visions of Johanna,Bob Dylan
Leader of the Pack,The Shangri-Las
Pt. 1-Acknowledgement,John Coltrane
I Wanna Be Your Dog,The Stooges
The Tears of a Clown,Smokey Robinson and the Miracles
Walk on By,Isaac Hayes
Hotel California,The Eagles
Light My Fire,The Doors
Ain’t No Sunshine,Bill Withers
Divorce Song,Liz Phair
Crazy,Gnarls Barkley
Chain of Fools,Aretha Franklin
Trans-Europe Express,Kraftwerk
No Scrubs,TLC
Wish You Were Here,Pink Floyd
Night Moves,Bob Seger
Rock Lobster,The B-52’s
I Put a Spell on You,Screamin’ Jay Hawkins
Jungleland,Bruce Springsteen
Wouldn’t It Be Nice,Beach Boys
Rebel Girl,Bikini Kill
Won’t Get Fooled Again,The Who
Sweet Jane,The Velvet Underground
School’s Out,Alice Cooper
In the Air Tonight,Phil Collins
Yeah!,Usher feat. Lil Jon and Ludacris
Atlantic City,Bruce Springsteen
That’s the Joint,The Funky 4 + 1
You Shook Me All Night Long,AC/DC
Dancing Queen,ABBA
Say My Name,Destiny’s Child
Suzanne,Leonard Cohen
Georgia on My Mind,Ray Charles
Never Tear Us Apart,INXS
Grindin”,Clipse
Penny Lane,The Beatles
Karma Police,Radiohead
Pressure Drop,Toots and the Maytals
Bo Diddley,Bo Diddley
Ever Fallen in Love (With Someone You Shouldn’t’ve),Buzzcocks
Sail Away,Randy Newman
Love and Happiness,Al Green
Killing Me Softly With His Song,Roberta Flack
The Boys Are Back in Town,Thin Lizzy
A Whiter Shade of Pale,Procol Harum
Closer,Nine Inch Nails
Unchained Melody,The Righteous Brothers
Shout (Parts 1 and 2),The Isley Brothers
Take Care,Drake feat. Rihanna
King Tubby Meets the Rockers Uptown,Augustus Pablo
Left of the Dial,The Replacements
Let’s Get It On,Marvin Gaye
Coat of Many Colors,Dolly Parton
American Tune,Paul Simon
Pusherman,Curtis Mayfield
Get Up,The Wailers
Heart of Gold,Neil Young
The Revolution Will Not Be Televised,Gil-Scott Heron
Heat Wave,Martha Reeves and the Vandellas
Master of Puppets,Metallica
Coal Miner’s Daughter,Loretta Lynn
Stop! In the Name of Love,The Supremes
Blue Eyes Crying in the Rain,Willie Nelson
Flash Light,Parliament
I Will Survive,Gloria Gaynor
Purple Haze,The Jimi Hendrix Experience
Bad Reputation,Joan Jett
River,Joni Mitchell
Ooh La La,Faces
Sabotage,Beastie Boys
Summer Babe (Winter Version),Pavement
Eleanor Rigby,The Beatles
Great Balls of Fire,Jerry Lee Lewis
